State,Sex,Age_group,COVID-19_Deaths
Arkansas,Unknown,65-74 ,0
Arkansas,Unknown,75-84 ,0
Arkansas,Unknown,85 _and_over,0
Arkansas,Unknown,All_Ages,0
Arkansas,All_Sexes,All_Ages,777
California,Male,Under_1_year,
California,Male,0-17 ,
California,Male,1-4 ,0
California,Male,5-14 ,0
California,Male,15-24 ,17
California,Male,18-29 ,46
California,Male,25-34 ,84
California,Male,30-49 ,574
California,Male,35-44 ,263
California,Male,45-54 ,621
California,Male,50-64 ,1643
California,Male,55-64 ,1279
California,Male,65-74 ,1759
California,Male,75-84 ,1677
California,Male,85 _and_over,1476
California,Male,All_Ages,7177
California,Female,Under_1_year,0
California,Female,0-17 ,
California,Female,1-4 ,0
California,Female,5-14 ,0
California,Female,15-24 ,15
California,Female,18-29 ,25
California,Female,25-34 ,38
California,Female,30-49 ,225
California,Female,35-44 ,109
California,Female,45-54 ,252
California,Female,50-64 ,686
California,Female,55-64 ,524
California,Female,65-74 ,926
California,Female,75-84 ,1277
California,Female,85 _and_over,2018
California,Female,All_Ages,5159
California,Unknown,Under_1_year,0
California,Unknown,0-17 ,0
California,Unknown,1-4 ,0
California,Unknown,5-14 ,0
California,Unknown,15-24 ,0
California,Unknown,18-29 ,0
California,Unknown,25-34 ,0
California,Unknown,30-49 ,0
California,Unknown,35-44 ,0
California,Unknown,45-54 ,0
California,Unknown,50-64 ,0
California,Unknown,55-64 ,0
California,Unknown,65-74 ,0
California,Unknown,75-84 ,0
California,Unknown,85 _and_over,0
California,Unknown,All_Ages,0
California,All_Sexes,All_Ages,12336
Colorado,Male,Under_1_year,0
Colorado,Male,0-17 ,
Colorado,Male,1-4 ,0
Colorado,Male,5-14 ,0
Colorado,Male,15-24 ,
Colorado,Male,18-29 ,
Colorado,Male,25-34 ,
Colorado,Male,30-49 ,52
Colorado,Male,35-44 ,18
Colorado,Male,45-54 ,66
Colorado,Male,50-64 ,168
Colorado,Male,55-64 ,133
Colorado,Male,65-74 ,232
Colorado,Male,75-84 ,298
Colorado,Male,85 _and_over,290
Colorado,Male,All_Ages,1047
Colorado,Female,Under_1_year,0
Colorado,Female,0-17 ,
Colorado,Female,1-4 ,0
Colorado,Female,5-14 ,0
Colorado,Female,15-24 ,
Colorado,Female,18-29 ,
Colorado,Female,25-34 ,
Colorado,Female,30-49 ,14
Colorado,Female,35-44 ,
Colorado,Female,45-54 ,22
Colorado,Female,50-64 ,64
Colorado,Female,55-64 ,46
Colorado,Female,65-74 ,127
Colorado,Female,75-84 ,216
Colorado,Female,85 _and_over,382
Colorado,Female,All_Ages,806
Colorado,Unknown,Under_1_year,0
Colorado,Unknown,0-17 ,0
Colorado,Unknown,1-4 ,0
Colorado,Unknown,5-14 ,0
Colorado,Unknown,15-24 ,0
Colorado,Unknown,18-29 ,0
Colorado,Unknown,25-34 ,0
Colorado,Unknown,30-49 ,0
Colorado,Unknown,35-44 ,0
Colorado,Unknown,45-54 ,0
Colorado,Unknown,50-64 ,0
Colorado,Unknown,55-64 ,0
Colorado,Unknown,65-74 ,0
Colorado,Unknown,75-84 ,0
Colorado,Unknown,85 _and_over,0
Colorado,Unknown,All_Ages,0
Colorado,All_Sexes,All_Ages,1853
Connecticut,Male,Under_1_year,0
Connecticut,Male,0-17 ,0
Connecticut,Male,1-4 ,0
Connecticut,Male,5-14 ,0
Connecticut,Male,15-24 ,
Connecticut,Male,18-29 ,
Connecticut,Male,25-34 ,
Connecticut,Male,30-49 ,54
Connecticut,Male,35-44 ,19
Connecticut,Male,45-54 ,74
Connecticut,Male,50-64 ,275
Connecticut,Male,55-64 ,230
Connecticut,Male,65-74 ,452
Connecticut,Male,75-84 ,567
Connecticut,Male,85 _and_over,714
Connecticut,Male,All_Ages,2066
Connecticut,Female,Under_1_year,0
Connecticut,Female,0-17 ,0
Connecticut,Female,1-4 ,0
Connecticut,Female,5-14 ,0
Connecticut,Female,15-24 ,
Connecticut,Female,18-29 ,
Connecticut,Female,25-34 ,
Connecticut,Female,30-49 ,23
Connecticut,Female,35-44 ,
Connecticut,Female,45-54 ,26
Connecticut,Female,50-64 ,138
Connecticut,Female,55-64 ,123
Connecticut,Female,65-74 ,283
Connecticut,Female,75-84 ,561
Connecticut,Female,85 _and_over,1229
Connecticut,Female,All_Ages,2236
