State,Sex,Age_group,COVID-19_Deaths
Arkansas,Unknown,5-14_years,0
Arkansas,Unknown,15-24_years,0
Arkansas,Unknown,18-29_years,0
Arkansas,Unknown,25-34_years,0
Arkansas,Unknown,30-49_years,0
Arkansas,Unknown,35-44_years,0
Arkansas,Unknown,45-54_years,0
Arkansas,Unknown,50-64_years,0
Arkansas,Unknown,55-64_years,0
Arkansas,Unknown,65-74_years,0
Arkansas,Unknown,75-84_years,0
Arkansas,Unknown,85_years_and_over,0
California,Male,Under_1_year,
California,Male,0-17_years,
California,Male,1-4_years,0
California,Male,5-14_years,0
California,Male,15-24_years,17
California,Male,18-29_years,47
California,Male,25-34_years,88
California,Male,30-49_years,601
California,Male,35-44_years,273
California,Male,45-54_years,652
California,Male,50-64_years,1731
California,Male,55-64_years,1350
California,Male,65-74_years,1847
California,Male,75-84_years,1764
California,Male,85_years_and_over,1555
California,Female,Under_1_year,0
California,Female,0-17_years,
California,Female,1-4_years,0
California,Female,5-14_years,0
California,Female,15-24_years,16
California,Female,18-29_years,27
California,Female,25-34_years,41
California,Female,30-49_years,233
California,Female,35-44_years,110
California,Female,45-54_years,266
California,Female,50-64_years,722
California,Female,55-64_years,551
California,Female,65-74_years,978
California,Female,75-84_years,1346
California,Female,85_years_and_over,2113
California,Unknown,Under_1_year,0
California,Unknown,0-17_years,0
California,Unknown,1-4_years,0
California,Unknown,5-14_years,0
California,Unknown,15-24_years,0
California,Unknown,18-29_years,0
California,Unknown,25-34_years,0
California,Unknown,30-49_years,0
California,Unknown,35-44_years,0
California,Unknown,45-54_years,0
California,Unknown,50-64_years,0
California,Unknown,55-64_years,0
California,Unknown,65-74_years,0
California,Unknown,75-84_years,0
California,Unknown,85_years_and_over,0
Colorado,Male,Under_1_year,0
Colorado,Male,0-17_years,
Colorado,Male,1-4_years,0
Colorado,Male,5-14_years,0
Colorado,Male,15-24_years,
Colorado,Male,18-29_years,
Colorado,Male,25-34_years,
Colorado,Male,30-49_years,52
Colorado,Male,35-44_years,18
Colorado,Male,45-54_years,66
Colorado,Male,50-64_years,170
Colorado,Male,55-64_years,135
Colorado,Male,65-74_years,235
Colorado,Male,75-84_years,306
Colorado,Male,85_years_and_over,295
Colorado,Female,Under_1_year,0
Colorado,Female,0-17_years,
Colorado,Female,1-4_years,0
Colorado,Female,5-14_years,0
Colorado,Female,15-24_years,
Colorado,Female,18-29_years,
Colorado,Female,25-34_years,
Colorado,Female,30-49_years,15
Colorado,Female,35-44_years,
Colorado,Female,45-54_years,22
Colorado,Female,50-64_years,64
Colorado,Female,55-64_years,46
Colorado,Female,65-74_years,132
Colorado,Female,75-84_years,217
Colorado,Female,85_years_and_over,386
Colorado,Unknown,Under_1_year,0
Colorado,Unknown,0-17_years,0
Colorado,Unknown,1-4_years,0
Colorado,Unknown,5-14_years,0
Colorado,Unknown,15-24_years,0
Colorado,Unknown,18-29_years,0
Colorado,Unknown,25-34_years,0
Colorado,Unknown,30-49_years,0
Colorado,Unknown,35-44_years,0
Colorado,Unknown,45-54_years,0
Colorado,Unknown,50-64_years,0
Colorado,Unknown,55-64_years,0
Colorado,Unknown,65-74_years,0
Colorado,Unknown,75-84_years,0
Colorado,Unknown,85_years_and_over,0
Connecticut,Male,Under_1_year,0
Connecticut,Male,0-17_years,0
Connecticut,Male,1-4_years,0
Connecticut,Male,5-14_years,0
Connecticut,Male,15-24_years,
Connecticut,Male,18-29_years,
Connecticut,Male,25-34_years,11
Connecticut,Male,30-49_years,57
Connecticut,Male,35-44_years,19
Connecticut,Male,45-54_years,75
Connecticut,Male,50-64_years,279
Connecticut,Male,55-64_years,234
Connecticut,Male,65-74_years,453
Connecticut,Male,75-84_years,573
Connecticut,Male,85_years_and_over,725
Connecticut,Female,Under_1_year,0
Connecticut,Female,0-17_years,0
Connecticut,Female,1-4_years,0
Connecticut,Female,5-14_years,0
Connecticut,Female,15-24_years,
Connecticut,Female,18-29_years,
Connecticut,Female,25-34_years,
Connecticut,Female,30-49_years,23
Connecticut,Female,35-44_years,
Connecticut,Female,45-54_years,26
Connecticut,Female,50-64_years,138
Connecticut,Female,55-64_years,123
Connecticut,Female,65-74_years,292
Connecticut,Female,75-84_years,570
Connecticut,Female,85_years_and_over,1244
Connecticut,Unknown,Under_1_year,0
Connecticut,Unknown,0-17_years,0
Connecticut,Unknown,1-4_years,0
Connecticut,Unknown,5-14_years,0
Connecticut,Unknown,15-24_years,0
Connecticut,Unknown,18-29_years,0
Connecticut,Unknown,25-34_years,0
Connecticut,Unknown,30-49_years,0
Connecticut,Unknown,35-44_years,0
Connecticut,Unknown,45-54_years,0
Connecticut,Unknown,50-64_years,0
Connecticut,Unknown,55-64_years,0
Connecticut,Unknown,65-74_years,0
Connecticut,Unknown,75-84_years,0
Connecticut,Unknown,85_years_and_over,0
Delaware,Male,Under_1_year,0
Delaware,Male,0-17_years,0
Delaware,Male,1-4_years,0
Delaware,Male,5-14_years,0
Delaware,Male,15-24_years,
Delaware,Male,18-29_years,
Delaware,Male,25-34_years,
Delaware,Male,30-49_years,10
Delaware,Male,35-44_years,
Delaware,Male,45-54_years,10
Delaware,Male,50-64_years,38
Delaware,Male,55-64_years,32
Delaware,Male,65-74_years,75
Delaware,Male,75-84_years,72
Delaware,Male,85_years_and_over,63
Delaware,Female,Under_1_year,0
Delaware,Female,0-17_years,0
Delaware,Female,1-4_years,0
Delaware,Female,5-14_years,0
Delaware,Female,15-24_years,
Delaware,Female,18-29_years,
Delaware,Female,25-34_years,
Delaware,Female,30-49_years,
Delaware,Female,35-44_years,
Delaware,Female,45-54_years,15
Delaware,Female,50-64_years,35
Delaware,Female,55-64_years,23
Delaware,Female,65-74_years,43
Delaware,Female,75-84_years,70
Delaware,Female,85_years_and_over,133
Delaware,Unknown,Under_1_year,0
Delaware,Unknown,0-17_years,0
Delaware,Unknown,1-4_years,0
Delaware,Unknown,5-14_years,0
Delaware,Unknown,15-24_years,0
Delaware,Unknown,18-29_years,0
Delaware,Unknown,25-34_years,0
Delaware,Unknown,30-49_years,0
